"_row_id","ID","SEX","CITY","PROVINCE","FULLNAME","AGE","IsMarried","FAMILYID","RACE","Income","IsHomeOwner","HOMEVALUE","RENTVALUE","IsEduBachelors","IsUnemployed","AME","AMB","credit_score","AccountType","account_age","avg12_tx","BankIsPrimary","avg12_tx_volume","loan_status","credit_card_status","overdraft_usage","branch_visits","digital_usage_level","customer_service","complaints_filed","satisfaction_level","MobilePhone","CardNumber","CardType","Email","BankPresenceRating","ChurnProbability"
"r01846","","","","","","","","","","115544.6272033476","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6560389285178786"
"r01471","114955.55220286497","F","Montreal","SK","MAINVILLE DANIEL","31.0","0.08012795384211391","xF9GUscc","White","58032.50140176252","0.6006296791341701","397496.4561764398","-172.9601228158099","0.4811420151868393","-0.08794881846315447","2823.6833062168103","12113.325901369886","620.5056769934366","Credit","7.6352336437569415","17.01607457698193","0.0977378430502096","119.01710246911125","Mortgage","0.23589105339266087","-0.03885798481316072","0.14301619279232192","Medium","2.524398278917581","0.8000441407912999","2.8537987848679665","367-920-2968T","4510 1550T 4313 2379","CREDIT","TMD650359@synth.live.com","0.13101368689699938","0.421892639425509"
"r01778","-257918.46906595828","F","Toronto","BC","BRAZEAU CHRISTINE","18.0","-1.5500512471747978","sT3fnjSo","White","-28268.542721365768","-0.6192847307158639","-938836.491807631","-2119.357903248454","-0.94001526423208","-0.7400204988699193","-4361.640617504248","-45961.47103313726","319.23852656563975","Checking","-22.151728559398155","-102.60196327437035","-1.5446221938599556","-5896.313811786311","Mortgage","-1.4158808659390871","-1.46001526423208","-12.378627845362576","Medium","-2.1418265445767326","-3.990297841138796","-3.701129957470422","807-881-7806T","4514 0112T 1742 1725","CREDIT","TfinickyFalcon1BRCH@synth.zoho.com","0.06992726639827473","0.15888629737497373"
"r01411","166233.67033794036","F","Ottawa","BC","BINSTED JOHN","35.0","0.3043123080286504","xF9GUscc","White","69900.73271663782","0.76839388810241","581270.6932266471","94.71101979489355","0.6765814041112478","0.0017249232114601443","3811.8183544714007","20099.84716060025","661.9363255467629","Credit","11.731575248733549","33.466102002210924","0.32359732155834076","946.2531973655705","Mortgage","0.4630448661562199","0.1565814041112477","1.865008891690907","Medium","3.166103557632768","1.4588181718191384","3.755241071656566","778-908-2384T","4519 9267T 0053 0434","CREDIT","TBINSTEDJOHN@non.jumo.com","0.1394143705276892","0.4702111858491802"
"r00386","17967.069169995753","F","Montreal","NU","BAUER MARIA","24.0","-0.3438989259076468","xF9GUscc","White","35584.685581361264","0.28331701777289053","49902.0997480104","-679.2388049839257","0.11148395155202317","-0.2575595703630588","954.704434773621","-2992.5440059867396","542.1428996452087","Credit","-0.11267077825321437","-14.097844261055982","-0.32945740115502825","-1445.6341927031556","Mortgage","-0.19375232113671914","-0.40851604844797684","-3.1139960715795465","Medium","1.3106637699243913","-0.4459745559660948","1.148792378295039","807-842-3393T","4519 9266T 8156 8405","CREDIT","TBM5889360@fake.jumo.com","0.11512446179647173","0.3305019509521039"
"r00350","222573.49464400322","F","Ottawa","NB","BINSTED JOHN","39.0","0.5506260883777402","xF9GUscc","White","82940.48712693888","0.9527182432438871","783185.4397880499","388.80420603010947","0.8913127794998792","0.10025043535109607","4897.493044456682","28874.72465076876","707.4566282659845","Credit","16.23227017895826","51.53992547065391","0.5717515791597519","1855.1464629751026","Mortgage","0.7126212228360729","0.3713127794998791","3.75698093826076","Medium","3.8711521041463515","2.182620341542633","4.745665484774522","778-908-2384T","4519 9267T 0053 0434","CREDIT","TBINSTEDJOHN@non.jumo.com","0.1486442927053547","0.523299296630919"
"r00311","223564.01430371497","M","Burnaby","NU","SCHREIBER JOANNE","39.0","0.5549565712093567","NBJEbuYb","Black","83169.7411805378","0.9559588798589302","786735.3359497471","393.97470640602035","0.89508800690783","0.10198262848374268","4916.580468631807","29028.99720615262","708.2569281482573","Checking; Investment; Joint","16.31139763215255","51.85768431516855","0.5761144197227623","1871.1258640338488","Student Loan","0.7170090655554195","0.37508800690782995","3.790244008049049","Low","3.8835476778808213","2.1953456257919837","4.763078298263651","647-607-6225T","5415 9033T 6742 4455","DEBIT","TSCHREIBER_JOANNE76@test.iCloud.com","0.14880656547576523","0.5242326473836761"
"r01931","ERR93","False","True","False","0.0","ERR93","—","-110","1.0","ERR55"," 670 ","NaN","ERR55","ERR93","ERR55","ERR74"," 670 ","ERR93","True","ERR93","ERR88","ERR93","ERR93","0.0"," 670 ","ERR74","N/A","False","ERR88","NaN","N/A","False","-110","True","0.0","—","N/A"
"r00840","322518.4798141767","F","Hamilton","NS","LAURIE HALL","46.0","0.9875785891605648","aX2ie0j3","White","106072.58022826571","1.2797035536885675","1141375.5229003092","910.515792797778","1.272239138307821","0.27503143566422594","6823.444041406006","44441.06713456319","788.208139940912","Investment","24.216354147931106","83.6022906052835","1.011969025723913","3467.493059214662","Mortgage","1.1553614261368055","0.7522391383078211","7.113276781669308","High","5.121884909821242","3.4666214546126515","6.5026456404723","753-540-3563T","4510 1335T 6276 4645","CREDIT","TLH3521502406@fake.zoho.com","0.16501786941651533","0.6174758495425766"
"r00492","","Can","TCronto","Can","Can","","","Can","Can","122599.85542713183","","","","","","","55562.81149822888","","Can","","","","","Can","","","","Can","6.0155007702231345","","","4C8-340-2484T","Can","Can","Can","","0.6847625321801396"
